City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-07-25 00:16:43,42.6001,-73.9662,74.05,62,91,1.01
1,Rikitea,PF,2021-07-25 00:16:44,-23.1203,-134.9692,69.46,55,0,1.25
2,Okhotsk,RU,2021-07-25 00:16:44,59.3833,143.3,55.9,94,100,12.53
3,Dakar,SN,2021-07-25 00:15:01,14.6937,-17.4441,77.88,69,36,8.81
4,Tasiilaq,GL,2021-07-25 00:16:44,65.6145,-37.6368,42.96,98,100,3.83
5,Puerto Ayora,EC,2021-07-25 00:16:45,-0.7393,-90.3518,72.55,84,19,7.0
6,Labuan,MY,2021-07-25 00:16:46,5.2767,115.2417,82.76,94,40,0.0
7,Busselton,AU,2021-07-25 00:16:46,-33.65,115.3333,57.09,70,99,15.39
8,Upernavik,GL,2021-07-25 00:16:46,72.7868,-56.1549,39.67,84,82,4.45
9,Pasighat,IN,2021-07-25 00:16:47,28.0667,95.3333,78.44,97,100,0.94
10,Hobart,AU,2021-07-25 00:15:13,-42.8794,147.3294,44.46,68,40,5.99
11,Chokurdakh,RU,2021-07-25 00:16:47,70.6333,147.9167,47.12,60,83,14.43
12,Inongo,CD,2021-07-25 00:16:48,-1.95,18.2667,69.57,58,26,4.47
13,Gimli,CA,2021-07-25 00:16:48,50.6336,-96.9907,83.43,39,19,11.5
14,Toda Raisingh,IN,2021-07-25 00:16:48,26.0252,75.4849,82.72,78,96,4.47
15,Saryozek,KZ,2021-07-25 00:16:49,44.3583,77.9753,71.78,32,0,2.17
16,Ushuaia,AR,2021-07-25 00:16:49,-54.8,-68.3,37.06,87,20,5.75
17,Arraial Do Cabo,BR,2021-07-25 00:16:50,-22.9661,-42.0278,70.12,76,0,23.8
18,Hilo,US,2021-07-25 00:12:04,19.7297,-155.09,80.33,85,90,9.22
19,Esil,KZ,2021-07-25 00:16:50,51.9556,66.4042,64.94,93,100,9.57
20,Bredasdorp,ZA,2021-07-25 00:16:51,-34.5322,20.0403,40.32,87,31,4.61
21,Thompson,CA,2021-07-25 00:16:51,55.7435,-97.8558,62.76,88,75,4.61
22,Cidreira,BR,2021-07-25 00:16:51,-30.1811,-50.2056,61.29,77,19,8.55
23,Atuona,PF,2021-07-25 00:16:52,-9.8,-139.0333,78.37,72,37,18.12
24,Mintlaw,GB,2021-07-25 00:16:14,57.5241,-2.001,53.38,95,7,8.25
25,Contamana,PE,2021-07-25 00:16:52,-7.3333,-75.0167,77.43,55,28,3.11
26,Barrow,US,2021-07-25 00:16:53,71.2906,-156.7887,42.82,81,90,4.61
27,East London,ZA,2021-07-25 00:16:53,-33.0153,27.9116,52.81,69,0,12.37
28,Iqaluit,CA,2021-07-25 00:16:53,63.7506,-68.5145,46.13,87,75,4.61
29,Mataura,NZ,2021-07-25 00:16:54,-46.1927,168.8643,48.47,75,100,3.69
30,Honiara,SB,2021-07-25 00:15:14,-9.4333,159.95,86.27,66,36,7.56
31,Vila Velha,BR,2021-07-25 00:16:54,-20.3297,-40.2925,64.35,88,0,3.44
32,Cabo San Lucas,MX,2021-07-25 00:16:55,22.8909,-109.9124,95.5,54,20,8.05
33,Asifabad,IN,2021-07-25 00:16:55,19.3667,79.2833,76.26,91,100,10.02
34,Shingu,JP,2021-07-25 00:16:55,33.7333,135.9833,85.19,74,85,8.61
35,Nikolskoye,RU,2021-07-25 00:16:56,59.7035,30.7861,59.02,58,49,4.09
36,Vardo,NO,2021-07-25 00:16:56,70.3705,31.1107,46.08,85,98,27.85
37,Gushikawa,JP,2021-07-25 00:16:57,26.3544,127.8686,83.79,92,90,17.27
38,Butaritari,KI,2021-07-25 00:16:57,3.0707,172.7902,83.68,75,70,14.12
39,Punta Arenas,CL,2021-07-25 00:16:57,-53.15,-70.9167,39.31,81,75,14.97
40,Husavik,IS,2021-07-25 00:16:58,66.0449,-17.3389,57.11,94,83,5.53
41,Bandarbeyla,SO,2021-07-25 00:16:58,9.4942,50.8122,78.64,66,46,25.64
42,Henties Bay,NA,2021-07-25 00:16:58,-22.116,14.2845,63.25,34,0,4.43
43,Flinders,AU,2021-07-25 00:16:59,-34.5833,150.8552,54.37,52,24,15.99
44,Bedesa,ET,2021-07-25 00:16:59,8.9,40.7833,59.18,92,100,5.28
45,Schweinfurt,DE,2021-07-25 00:17:00,50.05,10.2333,68.43,91,100,4.61
46,Broken Hill,AU,2021-07-25 00:17:00,-31.95,141.4333,49.01,64,45,17.05
47,Saint-Philippe,RE,2021-07-25 00:17:00,-21.3585,55.7679,65.75,81,30,5.06
48,Guangyuan,CN,2021-07-25 00:17:01,32.442,105.823,76.93,90,87,2.24
49,Georgetown,MY,2021-07-25 00:17:01,5.4112,100.3354,82.89,89,20,2.3
50,Kodiak,US,2021-07-25 00:17:02,57.79,-152.4072,60.31,77,40,8.05
51,Mossendjo,CG,2021-07-25 00:17:02,-2.9506,12.7261,65.93,90,26,3.13
52,Ancud,CL,2021-07-25 00:17:02,-41.8697,-73.8203,38.73,81,100,5.57
53,Faya,SA,2021-07-25 00:17:03,18.3851,42.4509,64.51,75,54,2.08
54,Lebu,CL,2021-07-25 00:17:03,-37.6167,-73.65,51.04,83,99,21.61
55,Hermanus,ZA,2021-07-25 00:17:04,-34.4187,19.2345,50.9,55,25,5.01
56,Port Alfred,ZA,2021-07-25 00:17:04,-33.5906,26.891,53.31,61,0,13.49
57,Cape Town,ZA,2021-07-25 00:12:59,-33.9258,18.4232,52.27,78,46,2.3
58,Qaanaaq,GL,2021-07-25 00:17:05,77.484,-69.3632,40.12,68,99,2.91
59,Sao Filipe,CV,2021-07-25 00:17:05,14.8961,-24.4956,73.99,73,48,8.32
60,Nantucket,US,2021-07-25 00:16:05,41.2835,-70.0995,71.71,80,1,3.44
61,Kruisfontein,ZA,2021-07-25 00:17:05,-34.0033,24.7314,46.9,42,5,8.84
62,Sangar,RU,2021-07-25 00:17:06,63.9242,127.4739,71.92,48,0,9.46
63,Leningradskiy,RU,2021-07-25 00:17:06,69.3833,178.4167,37.04,96,100,6.02
64,Dikson,RU,2021-07-25 00:17:07,73.5069,80.5464,37.6,96,94,12.17
65,Mwinilunga,ZM,2021-07-25 00:17:07,-11.7358,24.4293,55.94,71,7,8.79
66,Bluff,NZ,2021-07-25 00:17:07,-46.6,168.3333,48.79,66,100,9.08
67,Nanakuli,US,2021-07-25 00:17:08,21.3906,-158.1547,91.35,60,75,10.36
68,Avarua,CK,2021-07-25 00:17:04,-21.2078,-159.775,78.85,65,75,6.91
